[2021-01-17 06:36:13] [info]  [  500] Commons Daemon procrun (1.1.0.0 64-bit) started
[2021-01-17 06:36:13] [info]  [  500] Running 'Tomcat8' Service...
[2021-01-17 06:36:14] [info]  [ 2212] Starting service...
[2021-01-17 06:36:19] [info]  [ 2212] Service started in 5511 ms.
[2021-01-17 15:31:42] [info]  [ 2032] Commons Daemon procrun (1.1.0.0 64-bit) started
[2021-01-17 15:31:43] [info]  [ 2032] Running 'Tomcat8' Service...
[2021-01-17 15:31:43] [info]  [ 2224] Starting service...
[2021-01-17 15:31:49] [info]  [ 2224] Service started in 5571 ms.
[2021-01-17 19:13:02] [info]  [ 2024] Commons Daemon procrun (1.1.0.0 64-bit) started
[2021-01-17 19:13:02] [info]  [ 2024] Running 'Tomcat8' Service...
[2021-01-17 19:13:02] [info]  [ 2244] Starting service...
[2021-01-17 19:13:08] [info]  [ 2244] Service started in 5084 ms.
